City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dapa,9.7594,126.0531,27.59,73,19,6.77,PH,1707874274
83,hirara,24.8,125.2833,19.92,94,75,1.54,JP,1707874394
84,coutances,49.05,-1.4333,11.3,94,100,6.37,FR,1707874394
85,fortuna,40.5982,-124.1573,12.51,86,100,0.0,US,1707874270
86,luderitz,-26.6481,15.1594,18.14,70,56,7.98,NA,1707874069
87,la manga del mar menor,37.6413,-0.7165,15.23,77,91,0.51,ES,1707874094
88,vilyuysk,63.7553,121.6247,-42.78,100,77,1.34,RU,1707874258
89,oytal,42.9057,73.2697,2.44,75,100,2.25,KZ,1707874394
90,puerto ayora,-0.7393,-90.3518,27.53,96,100,1.34,EC,1707874064
91,polyarnyy,69.1989,33.4478,-18.04,97,94,7.35,RU,1707874070
92,tolanaro,-25.0319,46.9987,25.04,94,40,6.17,MG,1707874089
93,hengshui,37.7322,115.7011,11.75,41,14,4.99,CN,1707874394
94,pangai,-19.8,-174.35,30.06,66,75,7.2,TO,1707874274
95,dudinka,69.4058,86.1778,-37.4,99,25,1.79,RU,1707874067
96,torghay,49.6339,63.4981,1.04,91,99,6.33,KZ,1707874395
97,colonia,50.9333,6.95,10.03,74,75,4.12,DE,1707873893
98,la passe,45.5549,-0.8967,9.43,86,19,3.53,FR,1707874068
99,nadym,65.5333,72.5167,-35.29,93,6,4.39,RU,1707874065
100,saint-philippe,-21.3585,55.7679,25.77,89,97,3.83,RE,1707874239
101,arraial do cabo,-22.9661,-42.0278,25.77,86,100,6.99,BR,1707874062
102,fuyang,32.9,115.8167,16.5,61,100,2.75,CN,1707874395
103,sisimiut,66.9395,-53.6735,-20.96,71,9,4.99,GL,1707874143
104,turkmenbasy,40.0222,52.9552,15.43,38,0,2.06,TM,1707874395
105,isangel,-19.55,169.2667,28.91,81,23,8.76,VU,1707874101
106,mount gambier,-37.8333,140.7667,18.61,36,0,3.62,AU,1707874135
107,ponorogo,-7.8685,111.462,29.19,75,38,0.86,ID,1707874395
108,usinsk,65.9939,57.5281,-29.4,98,5,1.79,RU,1707874163
109,zyryanovsk,49.7386,84.2719,-23.99,98,100,0.63,KZ,1707874395
110,queenstown,-31.8976,26.8753,15.57,89,6,0.9,ZA,1707874093
111,stanley,54.868,-1.6985,5.44,95,100,1.19,GB,1707874074
112,udachny,66.4167,112.4,-35.31,66,100,2.32,RU,1707874070
113,badger,64.8,-147.5333,7.14,62,75,5.14,US,1707874072
114,jiwani,25.05,61.7417,20.69,73,0,3.55,PK,1707874395
115,nikolayevsk-on-amure,53.1406,140.73,-15.63,83,100,1.66,RU,1707874136
116,greenville,35.6127,-77.3663,10.01,49,0,0.0,US,1707873873
117,askoy,60.4092,5.226,3.75,98,100,6.83,NO,1707874396
118,lyubim,58.3625,40.6843,-26.64,99,37,2.06,RU,1707874396
119,kingston,17.997,-76.7936,27.53,85,40,6.17,JM,1707873868
120,fort bragg,35.139,-79.006,10.75,42,0,1.54,US,1707874078
121,thompson,55.7435,-97.8558,-5.91,100,100,1.03,CA,1707874067
122,port macquarie,-31.4333,152.9167,31.61,56,0,4.84,AU,1707874305
123,banda aceh,5.5577,95.3222,26.24,80,34,6.12,ID,1707874129
124,krasnokamensk,50.0979,118.0369,-18.25,80,11,3.27,RU,1707874396
125,chibougamau,49.9168,-74.3659,-15.21,85,100,3.09,CA,1707874062
126,palmer,42.1584,-72.3287,-0.77,83,40,1.54,US,1707874100
